"uri","date","election type","label"
"http://data.parliament.uk/resources/382122","1954-04-14","By-election","14-Apr-1954 By-election"
"http://data.parliament.uk/resources/382121","1954-04-08","By-election","08-Apr-1954 By-election"
"http://data.parliament.uk/resources/382120","1954-03-11","By-election","11-Mar-1954 By-election"
"http://data.parliament.uk/resources/382119","1954-03-09","By-election","09-Mar-1954 By-election"
"http://data.parliament.uk/resources/382118","1954-02-18","By-election","18-Feb-1954 By-election"
"http://data.parliament.uk/resources/382117","1954-02-11","By-election","11-Feb-1954 By-election"
"http://data.parliament.uk/resources/382116","1954-02-03","By-election","03-Feb-1954 By-election"
"http://data.parliament.uk/resources/382115","1953-12-03","By-election","03-Dec-1953 By-election"
"http://data.parliament.uk/resources/382114","1953-11-19","By-election","19-Nov-1953 By-election"
"http://data.parliament.uk/resources/382113","1953-11-12","By-election","12-Nov-1953 By-election"
"http://data.parliament.uk/resources/382112","1953-09-17","By-election","17-Sep-1953 By-election"
"http://data.parliament.uk/resources/382111","1953-07-02","By-election","02-Jul-1953 By-election"
"http://data.parliament.uk/resources/382110","1953-06-30","By-election","30-Jun-1953 By-election"
"http://data.parliament.uk/resources/382109","1953-05-13","By-election","13-May-1953 By-election"
"http://data.parliament.uk/resources/382108","1953-04-01","By-election","01-Apr-1953 By-election"
"http://data.parliament.uk/resources/382107","1953-03-31","By-election","31-Mar-1953 By-election"
"http://data.parliament.uk/resources/382106","1953-03-12","By-election","12-Mar-1953 By-election"
"http://data.parliament.uk/resources/382105","1953-02-12","By-election","12-Feb-1953 By-election"
"http://data.parliament.uk/resources/382104","1952-11-27","By-election","27-Nov-1952 By-election"
"http://data.parliament.uk/resources/382103","1952-11-04","By-election","04-Nov-1952 By-election"
"http://data.parliament.uk/resources/382102","1952-10-23","By-election","23-Oct-1952 By-election"
"http://data.parliament.uk/resources/382101","1952-07-17","By-election","17-Jul-1952 By-election"
"http://data.parliament.uk/resources/382100","1952-02-07","By-election","07-Feb-1952 By-election"
"http://data.parliament.uk/resources/382099","1952-02-06","By-election","06-Feb-1952 By-election"
"http://data.parliament.uk/resources/382022","1951-10-25","General Election","1951 General Election"
"http://data.parliament.uk/resources/382098","1951-06-21","By-election","21-Jun-1951 By-election"
"http://data.parliament.uk/resources/382097","1951-06-14","By-election","14-Jun-1951 By-election"
"http://data.parliament.uk/resources/382096","1951-04-21","By-election","21-Apr-1951 By-election"
"http://data.parliament.uk/resources/382095","1951-04-08","By-election","08-Apr-1951 By-election"
"http://data.parliament.uk/resources/382094","1951-02-15","By-election","15-Feb-1951 By-election"
"http://data.parliament.uk/resources/382093","1950-11-30","By-election","30-Nov-1950 By-election"
"http://data.parliament.uk/resources/382092","1950-11-16","By-election","16-Nov-1950 By-election"
"http://data.parliament.uk/resources/382091","1950-11-02","By-election","02-Nov-1950 By-election"
"http://data.parliament.uk/resources/382090","1950-10-25","By-election","25-Oct-1950 By-election"
"http://data.parliament.uk/resources/382089","1950-09-28","By-election","28-Sep-1950 By-election"
"http://data.parliament.uk/resources/382088","1950-05-04","By-election","04-May-1950 By-election"
"http://data.parliament.uk/resources/382087","1950-04-25","By-election","25-Apr-1950 By-election"
"http://data.parliament.uk/resources/382086","1950-04-05","By-election","05-Apr-1950 By-election"
"http://data.parliament.uk/resources/382021","1950-02-23","General Election","1950 General Election"
"http://data.parliament.uk/resources/382085","1949-12-08","By-election","08-Dec-1949 By-election"
"http://data.parliament.uk/resources/382084","1949-07-21","By-election","21-Jul-1949 By-election"
"http://data.parliament.uk/resources/382083","1949-03-16","By-election","16-Mar-1949 By-election"
"http://data.parliament.uk/resources/382082","1949-03-10","By-election","10-Mar-1949 By-election"
"http://data.parliament.uk/resources/382081","1949-02-24","By-election","24-Feb-1949 By-election"
"http://data.parliament.uk/resources/382080","1949-02-17","By-election","17-Feb-1949 By-election"
"http://data.parliament.uk/resources/382079","1948-11-25","By-election","25-Nov-1948 By-election"
"http://data.parliament.uk/resources/382078","1948-11-13","By-election","13-Nov-1948 By-election"
"http://data.parliament.uk/resources/382077","1948-10-07","By-election","07-Oct-1948 By-election"
"http://data.parliament.uk/resources/382076","1948-09-30","By-election","30-Sep-1948 By-election"
"http://data.parliament.uk/resources/382075","1948-04-29","By-election","29-Apr-1948 By-election"
"http://data.parliament.uk/resources/382074","1948-03-24","By-election","24-Mar-1948 By-election"
"http://data.parliament.uk/resources/382073","1948-03-11","By-election","11-Mar-1948 By-election"
"http://data.parliament.uk/resources/382072","1948-03-04","By-election","04-Mar-1948 By-election"
"http://data.parliament.uk/resources/382071","1948-02-18","By-election","18-Feb-1948 By-election"
"http://data.parliament.uk/resources/382070","1948-01-28","By-election","28-Jan-1948 By-election"
"http://data.parliament.uk/resources/382069","1947-12-04","By-election","04-Dec-1947 By-election"
"http://data.parliament.uk/resources/382068","1947-11-27","By-election","27-Nov-1947 By-election"
"http://data.parliament.uk/resources/382067","1947-11-26","By-election","26-Nov-1947 By-election"
"http://data.parliament.uk/resources/382066","1947-09-25","By-election","25-Sep-1947 By-election"
"http://data.parliament.uk/resources/382065","1947-09-11","By-election","11-Sep-1947 By-election"
"http://data.parliament.uk/resources/382064","1947-05-07","By-election","07-May-1947 By-election"
"http://data.parliament.uk/resources/382063","1947-02-11","By-election","11-Feb-1947 By-election"
"http://data.parliament.uk/resources/382062","1946-12-05","By-election","05-Dec-1946 By-election"
"http://data.parliament.uk/resources/382061","1946-11-26","By-election","26-Nov-1946 By-election"
"http://data.parliament.uk/resources/382060","1946-11-22","By-election","22-Nov-1946 By-election"
"http://data.parliament.uk/resources/382059","1946-11-20","By-election","20-Nov-1946 By-election"
"http://data.parliament.uk/resources/382058","1946-11-19","By-election","19-Nov-1946 By-election"
"http://data.parliament.uk/resources/382057","1946-08-29","By-election","29-Aug-1946 By-election"
"http://data.parliament.uk/resources/382056","1946-07-25","By-election","25-Jul-1946 By-election"
"http://data.parliament.uk/resources/382055","1946-07-23","By-election","23-Jul-1946 By-election"
"http://data.parliament.uk/resources/382054","1946-07-22","By-election","22-Jul-1946 By-election"
"http://data.parliament.uk/resources/382053","1946-06-04","By-election","04-Jun-1946 By-election"
"http://data.parliament.uk/resources/382052","1946-03-13","By-election","13-Mar-1946 By-election"
"http://data.parliament.uk/resources/382051","1946-02-22","By-election","22-Feb-1946 By-election"
"http://data.parliament.uk/resources/382049","1946-02-12","By-election","12-Feb-1946 By-election"
"http://data.parliament.uk/resources/382048","1946-02-07","By-election","07-Feb-1946 By-election"
"http://data.parliament.uk/resources/382047","1946-01-31","By-election","31-Jan-1946 By-election"
"http://data.parliament.uk/resources/382050","1946-01-21","By-election","21-Jan-1946 By-election"
"http://data.parliament.uk/resources/382046","1945-12-13","By-election","13-Dec-1945 By-election"
"http://data.parliament.uk/resources/382045","1945-11-20","By-election","20-Nov-1945 By-election"
"http://data.parliament.uk/resources/382044","1945-11-15","By-election","15-Nov-1945 By-election"
"http://data.parliament.uk/resources/382043","1945-11-14","By-election","14-Nov-1945 By-election"
"http://data.parliament.uk/resources/382042","1945-10-31","By-election","31-Oct-1945 By-election"
"http://data.parliament.uk/resources/382041","1945-10-30","By-election","30-Oct-1945 By-election"
"http://data.parliament.uk/resources/382040","1945-10-03","By-election","03-Oct-1945 By-election"
"http://data.parliament.uk/resources/382039","1945-10-02","By-election","02-Oct-1945 By-election"
"http://data.parliament.uk/resources/382038","1945-10-01","By-election","01-Oct-1945 By-election"
"http://data.parliament.uk/resources/382020","1945-07-05","General Election","1945 General Election"
"http://data.parliament.uk/resources/795150","1945-05-17","By-election","17-May-1945 By-election"
"http://data.parliament.uk/resources/802457","1939-12-08","By-election","08-Dec-1939 By-election"
"http://data.parliament.uk/resources/755509","1939-07-04","By-election","04-Jul-1939 By-election"
"http://data.parliament.uk/resources/795151","1935-11-14","General Election","1935 General Election"
"http://data.parliament.uk/resources/795152","1931-10-27","General Election","1931 General Election"
